context_type,difficulty,model_name,pref_group,filename,experiment_group,valid_samples,parse_success,parse_fail,parse_error_rate,domain_acc,domain_f1,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec,file_path
diag-apilist,hard,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,472,472,0,0.0,0.6165,0.6165,0.0242,0.0205,0.0297,0.0431,0.0787,0.0297,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,472,472,0,0.0,0.9873,0.9873,0.2021,0.161,0.2712,0.2021,0.161,0.2712,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,hard,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,472,472,0,0.0,0.9979,0.9979,0.3072,0.2266,0.4767,0.3268,0.2486,0.4767,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,multiturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,293,293,0,0.0,0.8225,0.8225,0.1965,0.2765,0.1524,0.3541,0.2765,0.4923,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,medium,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,293,293,0,0.0,1.0,1.0,0.5111,0.3893,0.744,0.5111,0.3893,0.744,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,293,289,4,0.0137,0.9454,0.9454,0.366,0.247,0.7065,0.575,0.4848,0.7065,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,293,269,24,0.0819,0.843,0.8774,0.2044,0.1328,0.4437,0.3969,0.3591,0.4437,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,medium,singleturn-query,gemini-3-flash-preview,1229_test_1.json,unknown,293,293,0,0.0,0.9522,0.9316,0.5735,0.4432,0.8123,0.5735,0.4432,0.8123,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
diag-apilist,medium,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,293,279,14,0.0478,0.8976,0.9196,0.2036,0.1253,0.5427,0.4569,0.3945,0.5427,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,293,293,0,0.0,0.5324,0.5324,0.1849,0.1585,0.2218,0.3037,0.4815,0.2218,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,293,293,0,0.0,0.9898,0.9898,0.5513,0.4239,0.7884,0.5513,0.4239,0.7884,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,medium,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,293,293,0,0.0,1.0,1.0,0.5139,0.3683,0.8498,0.564,0.422,0.8498,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
