group_key,context,pref_type,query_turns,model_name,prompt_type,file_name,json_path,rel_path,status,error,tp,fp,fn,precision,recall,f1,or_log_path,parsing_fail_path
diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs,diag-apilist,hard,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json,diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json,ok,,139,791,333,0.14946236559139786,0.2944915254237288,0.19828815977175462,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__Qwen_Qwen3-VL-8B-Instruct__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs,diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,imp-zs,1229_test_deepseek_integration.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json,diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json,ok,,85,960,387,0.08133971291866028,0.18008474576271186,0.11206328279499009,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__deepseek-ai_DeepSeek-R1-Distill-Llama-8B__imp-zs__1229_test_deepseek_integration.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs,diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,imp-zs,1229_test_deepseek_integration.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json,diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json,ok,,39,1220,433,0.030976965845909452,0.0826271186440678,0.04506065857885616,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__imp-zs__1229_test_deepseek_integration.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs,diag-apilist,hard,singleturn-query,gemini-3-flash-preview-high,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs/1229_test_1.json,diag-apilist/hard/singleturn-query/gemini-3-flash-preview-high/imp-zs/1229_test_1.json,ok,,159,560,313,0.2211404728789986,0.336864406779661,0.26700251889168763,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__gemini-3-flash-preview-high__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs,diag-apilist,hard,singleturn-query,gemini-3-flash-preview-minimal,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_1.json,diag-apilist/hard/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_1.json,ok,,94,539,378,0.1484992101105845,0.19915254237288135,0.17013574660633482,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__gemini-3-flash-preview-minimal__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs,diag-apilist,hard,singleturn-query,google_codegemma-7b-it,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json,diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json,ok,,71,1350,401,0.04996481351161154,0.1504237288135593,0.07501320655044903,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__google_codegemma-7b-it__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs,diag-apilist,hard,singleturn-query,google_gemma-3-12b-it,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json,diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json,ok,,2,860,470,0.002320185614849188,0.00423728813559322,0.002998500749625187,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__google_gemma-3-12b-it__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs,diag-apilist,hard,singleturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/1229_test_1.json,diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/1229_test_1.json,ok,,128,667,344,0.1610062893081761,0.2711864406779661,0.20205209155485396,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__gpt-4o-mini-2024-07-18__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/gpt-5-mini-high/imp-zs,diag-apilist,hard,singleturn-query,gpt-5-mini-high,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-5-mini-high/imp-zs/1229_test_1.json,diag-apilist/hard/singleturn-query/gpt-5-mini-high/imp-zs/1229_test_1.json,ok,,170,682,302,0.19953051643192488,0.3601694915254237,0.25679758308157097,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__gpt-5-mini-high__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/gpt-5-mini-minimal/imp-zs,diag-apilist,hard,singleturn-query,gpt-5-mini-minimal,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-5-mini-minimal/imp-zs/1229_test_1.json,diag-apilist/hard/singleturn-query/gpt-5-mini-minimal/imp-zs/1229_test_1.json,ok,,128,601,344,0.1755829903978052,0.2711864406779661,0.21315570358034971,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__gpt-5-mini-minimal__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs,diag-apilist,hard,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json,diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json,ok,,225,768,247,0.22658610271903323,0.4766949152542373,0.30716723549488056,,./1229-3_results_logs/diag-apilist__hard__singleturn-query__meta-llama_Llama-3.1-8B-Instruct__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs,diag-apilist,medium,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json,diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json,ok,,218,342,75,0.3892857142857143,0.7440273037542662,0.511137162954279,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__Qwen_Qwen3-VL-8B-Instruct__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs,diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,imp-zs,1229_test_deepseek_integration.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json,diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json,ok,,207,613,86,0.2524390243902439,0.7064846416382252,0.3719676549865229,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__deepseek-ai_DeepSeek-R1-Distill-Llama-8B__imp-zs__1229_test_deepseek_integration.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs,diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,imp-zs,1229_test_deepseek_integration.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json,diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json,ok,,130,845,163,0.13333333333333333,0.44368600682593856,0.20504731861198738,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__imp-zs__1229_test_deepseek_integration.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/gemini-3-flash-preview-high/imp-zs,diag-apilist,medium,singleturn-query,gemini-3-flash-preview-high,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gemini-3-flash-preview-high/imp-zs/1229_test_1.json,diag-apilist/medium/singleturn-query/gemini-3-flash-preview-high/imp-zs/1229_test_1.json,ok,,238,299,55,0.44320297951582865,0.8122866894197952,0.5734939759036145,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__gemini-3-flash-preview-high__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/gemini-3-flash-preview-minimal/imp-zs,diag-apilist,medium,singleturn-query,gemini-3-flash-preview-minimal,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_1.json,diag-apilist/medium/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_1.json,ok,,190,303,103,0.385395537525355,0.6484641638225256,0.4834605597964377,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__gemini-3-flash-preview-minimal__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/google_codegemma-7b-it/imp-zs,diag-apilist,medium,singleturn-query,google_codegemma-7b-it,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json,diag-apilist/medium/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json,ok,,159,1110,134,0.12529550827423167,0.5426621160409556,0.20358514724711904,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__google_codegemma-7b-it__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/google_gemma-3-12b-it/imp-zs,diag-apilist,medium,singleturn-query,google_gemma-3-12b-it,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json,diag-apilist/medium/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json,ok,,51,495,242,0.09340659340659341,0.17406143344709898,0.12157330154946364,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__google_gemma-3-12b-it__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs,diag-apilist,medium,singleturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/1229_test_1.json,diag-apilist/medium/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/1229_test_1.json,ok,,231,314,62,0.42385321100917434,0.78839590443686,0.5513126491646778,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__gpt-4o-mini-2024-07-18__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/gpt-5-mini-high/imp-zs,diag-apilist,medium,singleturn-query,gpt-5-mini-high,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-5-mini-high/imp-zs/1229_test_1.json,diag-apilist/medium/singleturn-query/gpt-5-mini-high/imp-zs/1229_test_1.json,ok,,239,296,54,0.44672897196261685,0.8156996587030717,0.5772946859903383,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__gpt-5-mini-high__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/gpt-5-mini-minimal/imp-zs,diag-apilist,medium,singleturn-query,gpt-5-mini-minimal,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-5-mini-minimal/imp-zs/1229_test_1.json,diag-apilist/medium/singleturn-query/gpt-5-mini-minimal/imp-zs/1229_test_1.json,ok,,217,272,76,0.4437627811860941,0.7406143344709898,0.5549872122762148,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__gpt-5-mini-minimal__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/medium/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs,diag-apilist,medium,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json,diag-apilist/medium/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json,ok,,249,427,44,0.3683431952662722,0.8498293515358362,0.5139318885448917,,./1229-3_results_logs/diag-apilist__medium__singleturn-query__meta-llama_Llama-3.1-8B-Instruct__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
